
ja	yes (from german) [interj]
jacquerie	"(french) a peasant's revolt, esp. in 1358, the french peasant uprising against nobility [n -s]"
jacqueries	"jacquerie, (french) a peasant's revolt, esp. in 1358, the french peasant uprising against nobility [n]"
jactation	"restless tossing in bed, characteristic of severe fevers and certain mental disorders, also jactitation [n -s]"
jactations	"jactation, restless tossing in bed, characteristic of severe fevers and certain mental disorders, also jactitation [n]"
jactitation	"restless tossing in bed, characteristic of severe fevers and certain mental disorders, also jactation [n -s]"
jactitations	"jactitation, restless tossing in bed, characteristic of severe fevers and certain mental disorders, also jactation [n]"
jaculate	"to throw or cast, as a dart [v jaculated, jaculating, jaculates]"
jaculated	"jaculate, to throw or cast, as a dart [v]"
jaculates	"jaculate, to throw or cast, as a dart [v]"
jaculating	"jaculate, to throw or cast, as a dart [v]"
jaculation	the act of throwing or hurling [n -s]
jaculations	"jaculation, the act of throwing or hurling [n]"
jaculator	one who throws or casts [n -s]
jaculators	"jaculator, one who throws or casts [n]"
jaculatory	throwing out suddenly [adj]
jacuzzi	a kind of large bath which uses underwater jets of warm water to massage the body [n -s]
jacuzzis	"jacuzzi, a kind of large bath which uses underwater jets of warm water to massage the body [n]"
jade	"to tire [v jaded, jading, jades]"
jaded	"jade, to tire [v]"
jadedly	jaded [adv]
jadedness	the state of being jaded [n -es]
jadednesses	"jadedness, the state of being jaded [n]"
jadeite	"a mineral, a silicate of sodium, aluminium, and ferric iron [n -s]"
jadeites	"jadeite, a mineral, a silicate of sodium, aluminium, and ferric iron [n]"
jadelike	like jade [adj]
jaderies	"jadery, the tricks of a perverse woman [n]"
jadery	the tricks of a perverse woman [n jaderies]
jades	"jade, to tire [v]"
jading	"jade, to tire [v]"
jadish	"like a jade, vicious [adj jadishly]"
jadishly	"jadish, like a jade, vicious [adv]"
jadishness	the state of being jaded [n -es]
jadishnesses	"jadishness, the state of being jaded [n]"
jaditic	"of or like jadeite, a mineral [adj]"
jaeger	"a german army marksman, also jager, yager [n -s]"
jaegers	"jaeger, a german army marksman, also jager, yager [n]"
jafa	(nz) an offensive name for a person from auckland [n -s]
jafas	"jafa, (nz) an offensive name for a person from auckland [n]"
jaffa	"in cricket, a well-bowled ball that is likely to take a wicket [n -s]"
jaffas	"jaffa, in cricket, a well-bowled ball that is likely to take a wicket [n]"
jag	"to cut unevenly, also jagg [v jagged, jagging, jags]"
jaga	"in indonesia, to guard [v -ed, -ing, -s]"
jagaed	"jaga, in indonesia, to guard [v]"
jagaing	"jaga, in indonesia, to guard [v]"
jagas	"jaga, in indonesia, to guard [v]"
jager	"a german army marksman, also jaeger, yager [n -s]"
jagers	"jager, a german army marksman, also jaeger, yager [n]"
jagg	"to cut unevenly, also jag [v -ed, -ing, -s]"
jaggaries	"jaggary, a coarse, dark sugar, also jaggery, jagghery, jagra [n]"
jaggary	"a coarse, dark sugar, also jaggery, jagghery, jagra [n jaggaries]"
jagged	"rough-edged [adj jaggeder, jaggedest, jaggedly]"
jaggeder	"jagged, rough-edged [adj]"
jaggedest	"jagged, rough-edged [adj]"
jaggedly	"jagged, rough-edged [adv]"
jaggedness	the state of being jagged [n -es]
jaggednesses	"jaggedness, the state of being jagged [n]"
jagger	"a hawker, a pedlar [n -s]"
jaggeries	"jaggery, a coarse, dark sugar, also jaggary, jagghery, jagra [n]"
jaggers	"jagger, a hawker, a pedlar [n]"
jaggery	"a coarse, dark sugar, also jaggary, jagghery, jagra [n jaggeries]"
jaggheries	"jagghery, a coarse, dark sugar, also jaggary, jaggery, jagra [n]"
jagghery	"a coarse, dark sugar, also jaggary, jaggery, jagra [n jaggheries]"
jaggier	"jaggy, jagged, rough-edged [adj]"
jaggies	"jaggy, a jagged computer image [n]"
jaggiest	"jaggy, jagged, rough-edged [adj]"
jagging	"jagg, to cut unevenly, also jag [v]"
jaggs	"jagg, to cut unevenly, also jag [v]"
jaggy	"jagged, rough-edged [adj jaggier, jaggiest] / a jagged computer image [n jaggies]"
jaghir	"(hindi) the government revenues of a tract of land assigned with power to administer, also jaghire, jagir [n -s]"
jaghirdar	"(hindi) the holder of a jaghir, in pakistan, a village or district the government and revenues of which are assigned to some person [n -s]"
jaghirdars	"jaghirdar, (hindi) the holder of a jaghir, in pakistan, a village or district the government and revenues of which are assigned to some person [n]"
jaghire	"(hindi) the government revenues of a tract of land assigned with power to administer, also jaghir, jagir [n -s]"
jaghires	"jaghire, (hindi) the government revenues of a tract of land assigned with power to administer, also jaghir, jagir [n]"
jaghirs	"jaghir, (hindi) the government revenues of a tract of land assigned with power to administer, also jaghire, jagir [n]"
jagir	"(hindi) the government revenues of a tract of land assigned with power to administer, also jaghir, jaghire [n -s]"
jagirs	"jagir, (hindi) the government revenues of a tract of land assigned with power to administer, also jaghir, jaghire [n]"
jagless	(slang) not producing intoxication [adj]
jagra	"a coarse, dark sugar, also jaggary, jaggery, jagghery [n -s]"
jagras	"jagra, a coarse, dark sugar, also jaggary, jaggery, jagghery [n]"
jags	"jag, to cut unevenly, also jagg [v]"
jaguar	a powerful feline beast of prey [n -s]
jaguarondi	"(tupi) a south american wild cat, aka eyra, also jaguarundi [n -s]"
jaguarondis	"jaguarondi, (tupi) a south american wild cat, aka eyra, also jaguarundi [n]"
jaguars	"jaguar, a powerful feline beast of prey [n]"
jaguarundi	"(tupi) a south american wild cat, aka eyra, also jaguarondi [n -s]"
jaguarundis	"jaguarundi, (tupi) a south american wild cat, aka eyra, also jaguarondi [n]"
jai	onward to victory (indian) [interj]
jail	"to imprison, also gaol [v -ed, -ing, -s]"
jailable	able to be jailed [adj]
jailbait	a sexual attractive person who is below the age of legal consent [n -s]
jailbaits	"jailbait, a sexual attractive person who is below the age of legal consent [n]"
jailbird	"an inveterate convict, also gaolbird [n -s]"
jailbirds	"jailbird, an inveterate convict, also gaolbird [n]"
jailbreak	"to free from jail, also gaolbreak [v jailbroken, jailbroke, jailbreaking, jailbreaks]"
jailbreaker	one who escapes from jail [n -s]
jailbreakers	"jailbreaker, one who escapes from jail [n]"
jailbreaking	"jailbreak, to free from jail, also gaolbreak [v]"
jailbreaks	jailbreak [n]
jailbroke	"jailbreak, to free from jail, also gaolbreak [v]"
jailbroken	"jailbreak, to free from jail, also gaolbreak [v]"
jailed	"jail, to imprison, also gaol [v]"
jailer	"a keeper of a jail, also gaoler, jailor [n -s]"
jaileress	"a female jailer, also gaoleress, jailoress [n -es]"
jaileresses	"jaileress, a female jailer, also gaoleress, jailoress [n]"
jailers	"jailer, a keeper of a jail, also gaoler, jailor [n]"
jailhouse	a prison [n -s]
jailhouses	"jailhouse, a prison [n]"
jailing	"jail, to imprison, also gaol [v]"
jailless	"having no gaol, also gaolless [adj]"
jailor	"a keeper of a jail, also gaoler, jailer [n -s]"
jailoress	"a female jailor, also gaoleress, jaileress [n -es]"
jailoresses	"jailoress, a female jailor, also gaoleress, jaileress [n]"
jailors	"jailor, a keeper of a jail, also gaoler, jailer [n]"
jails	"jail, to imprison, also gaol [v]"
jak	"an east indian tree of the breadfruit family, also jackfruit, jakfruit [n -s]"
jake	"(australian slang) honest, fine [adj] / (us) a country lout, a yokel [n -s]"
jakes	(shakespeare) a privy [n -es]
jakeses	"jakes, (shakespeare) a privy [n]"
jakey	(scots) a homeless alcoholic [n -s]
jakeys	"jakey, (scots) a homeless alcoholic [n]"
jakfruit	"an east indian tree of the breadfruit family, also jackfruit, jak [n -s]"
jakfruits	"jakfruit, an east indian tree of the breadfruit family, also jackfruit, jak [n]"
jaks	"jak, an east indian tree of the breadfruit family, also jackfruit, jakfruit [n]"
jalabib	"jilbab, a long robe worn by muslim women [n]"
jalap	"a mexican plant, also jalop [n -s]"
jalapeno	(spanish) an especially hot type of capsicum pepper [n -s]
jalapenos	"jalapeno, (spanish) an especially hot type of capsicum pepper [n]"
jalapic	"pertaining to jalap, the purgative root of a mexican plant [adj]"
jalapin	"a glucoside resin, one of the purgative principles of jalap [n -s]"
jalapins	"jalapin, a glucoside resin, one of the purgative principles of jalap [n]"
jalaps	"jalap, a mexican plant, also jalop [n]"
jalebi	"(sanskrit) an asian snack of deep-fried dough covered with syrup, also jallebi [n -s]"
jalebis	"jalebi, (sanskrit) an asian snack of deep-fried dough covered with syrup, also jallebi [n]"
jalfrezi	a hot-flavoured indian dish of meat or vegetables stir-fried with green chillis and spices [n -s]
jalfrezis	"jalfrezi, a hot-flavoured indian dish of meat or vegetables stir-fried with green chillis and spices [n]"
jallebi	"(sanskrit) an asian snack of deep-fried dough covered with syrup, also jalebi [n -s]"
jallebis	"jallebi, (sanskrit) an asian snack of deep-fried dough covered with syrup, also jalebi [n]"
jaloallofane	"a crystalline mineral which contains potassium and belongs to the feldspar group, aka hyalophane [n -s]"
jaloallofanes	"jaloallofane, a crystalline mineral which contains potassium and belongs to the feldspar group, aka hyalophane [n]"
jalop	"the purgative root of a mexican plant, also jalap [n -s]"
jalopies	"jalopy, a decrepit car, also jaloppy [n]"
jaloppies	"jaloppy, a decrepit car, also jalopy [n]"
jaloppy	"a decrepit car, also jalopy [n jaloppies]"
jalops	"jalop, the purgative root of a mexican plant, also jalap [n]"
jalopy	"a decrepit car, also jaloppy [n jalopies]"
jalouse	"to suspect, also jealouse [v jaloused, jalousing, jalouses]"
jaloused	"jalouse, to suspect, also jealouse [v]"
jalouses	"jalouse, to suspect, also jealouse [v]"
jalousie	an outside shutter with slats [n -s]
jalousied	"fitted with jalousies, outside shutters with slats [adj]"
jalousies	"jalousie, an outside shutter with slats [n]"
jalousing	"jalouse, to suspect, also jealouse [v]"
jam	"to force together tightly [v jammed, jamming, jams]"
jamaat	(arabic) an islamic council or assembly [n -s]
jamaats	"jamaat, (arabic) an islamic council or assembly [n]"
jamadar	an indian police officer [n -s]
jamadars	"jamadar, an indian police officer [n]"
jamahiriya	"(arabic) in arab socialist states, the people or proletariat state, also jumhouriya [n -s]"
jamahiriyas	"jamahiriya, (arabic) in arab socialist states, the people or proletariat state, also jumhouriya [n]"
jamb	"a piece of leg armour, a greave, also jambart, jambe, jambeau, jamber, jambier [n -s] / to jam [v -ed, -ing, -s]"
jambalaya	"(provencal) a creole dish of rice, meat, shellfish etc. [n -s]"
jambalayas	"jambalaya, (provencal) a creole dish of rice, meat, shellfish etc. [n]"
jambart	"a greave, armour covering the lower leg, also jamb, jambe, jambeau, jamber, jambier [n -s]"
jambarts	"jambart, a greave, armour covering the lower leg, also jamb, jambe, jambeau, jamber, jambier [n]"
jambe	"a piece of leg-armour, a greave, also jamb, jambart, jambeau, jamber, jambier [n -s]"
jambeau	"(obsolete) armour for the legs below the knees, a greave, also jamb, jambart, jambe, jamber, jambier [n jambeaus, jambeaux or jambeux or (spenser) giambeux]"
jambeaus	"jambeau, (obsolete) armour for the legs below the knees, a greave, also jamb, jambart, jambe, jamber, jambier [n]"
jambeaux	"jambeau, (obsolete) armour for the legs below the knees, a greave, also jamb, jambart, jambe, jamber, jambier [n]"
jambed	"jamb, to jam [v]"
jambee	"a light cane, fashionable in the 18th century [n -s]"
jambees	"jambee, a light cane, fashionable in the 18th century [n]"
jamber	"(obsolete) armor for the legs below the knees, a greave, also jamb, jambart, jambe, jambeau, jambier [n -s]"
jambers	"jamber, (obsolete) armor for the legs below the knees, a greave, also jamb, jambart, jambe, jambeau, jambier [n]"
jambes	"jambe, a piece of leg-armour, a greave, also jamb, jambart, jambeau, jamber, jambier [n]"
jambeux	"jambeau, (obsolete) armour for the legs below the knees, a greave, also jamb, jambart, jambe, jamber, jambier [n]"
jambier	"(obsolete) armor for the legs below the knees, a greave, also jamb, jambart, jambe, jambeau, jamber [n -s]"
jambiers	"jambier, (obsolete) armor for the legs below the knees, a greave, also jamb, jambart, jambe, jambeau, jamber [n]"
jambing	"jamb, to jam [v]"
jambiya	"a middle eastern curved dagger, also jambiyah [n -s]"
jambiyah	"a middle eastern curved dagger, also jambiya [n -s]"
jambiyahs	"jambiyah, a middle eastern curved dagger, also jambiya [n]"
jambiyas	"jambiya, a middle eastern curved dagger, also jambiyah [n]"
jambo	(swahili) an east african salutation [interj]
jambok	"(afrikaans) to beat with a rhinoceros-hide whip, also sjambok [v jambokked, jambokking, jamboks]"
jambokked	"jambok, (afrikaans) to beat with a rhinoceros-hide whip, also sjambok [v]"
jambokking	"jambok, (afrikaans) to beat with a rhinoceros-hide whip, also sjambok [v]"
jamboks	"jambok, (afrikaans) to beat with a rhinoceros-hide whip, also sjambok [v]"
jambolan	"(sanskrit) the rose-apple tree of malaysia, also jambolana, jambool, jambu, jambul [n -s]"
jambolana	"(sanskrit) the rose-apple tree of malaysia, also jambolan, jambool, jambu, jambul [n -s]"
jambolanas	"jambolana, (sanskrit) the rose-apple tree of malaysia, also jambolan, jambool, jambu, jambul [n]"
jambolans	"jambolan, (sanskrit) the rose-apple tree of malaysia, also jambolana, jambool, jambu, jambul [n]"
jambone	a lone hand in euchre [n -s]
jambones	"jambone, a lone hand in euchre [n]"
jambool	"the rose-apple tree, also jambu, jambolan, jambul [n -s]"
jambools	"jambool, the rose-apple tree, also jambu, jambolan, jambul [n]"
jamboree	a noisy celebration [n -s]
jamborees	"jamboree, a noisy celebration [n]"
jambs	"jamb, to jam [v]"
jambu	"(sanskrit) the rose-apple tree of malaysia, also jambolan, jambolana, jambool, jambul [n -s]"
jambul	"(sanskrit) the rose-apple tree of malaysia, also jambolan, jambolana, jambool, jambu [n -s]"
jambuls	"jambul, (sanskrit) the rose-apple tree of malaysia, also jambolan, jambolana, jambool, jambu [n]"
jambus	"jambu, (sanskrit) the rose-apple tree of malaysia, also jambolan, jambolana, jambool, jambul [n]"
jamdani	a kind of dacca muslin [n -s]
jamdanis	"jamdani, a kind of dacca muslin [n]"
james	a short crowbar [n -es]
jameses	"james, a short crowbar [n]"
jamjar	"a jar for jam, also jampot [n -s]"
jamjars	"jamjar, a jar for jam, also jampot [n]"
jamlike	like jam [adj]
jammable	able to be jammed [adj]
jammed	"jam, to force together tightly [v]"
jammer	a person or thing that jams something [n -s]
jammers	"jammer, a person or thing that jams something [n]"
jammier	"jammy, very lucky [adj]"
jammies	(colloquial) pajamas [n]
jammiest	"jammy, very lucky [adj]"
jamming	a rock-climbing technique in which holds are got by wedging the hands and feet in suitable cracks [n -s]
jammings	"jamming, a rock-climbing technique in which holds are got by wedging the hands and feet in suitable cracks [n]"
jammy	"very lucky [adj jammier, jammiest]"
jamon	designating a variety of spanish ham [adj]
jampacked	packed to the full [adj]
jampan	an indian sedan chair [n -s]
jampanee	"a bearer of a jampan, an indian sedan chair, also jampani [n -s]"
jampanees	"jampanee, a bearer of a jampan, an indian sedan chair, also jampani [n]"
jampani	"a bearer of a jampan, an indian sedan chair, also jampanee [n -s]"
jampanis	"jampani, a bearer of a jampan, an indian sedan chair, also jampanee [n]"
jampans	"jampan, an indian sedan chair [n]"
jampot	"a jar for jam, also jamjar [n -s]"
jampots	"jampot, a jar for jam, also jamjar [n]"
jams	"jam, to force together tightly [v]"
jane	a small silver genoese coin [n -s]
janes	"jane, a small silver genoese coin [n]"
jangle	"to make a harsh metallic sound [v jangled, jangling, jangles]"
jangled	"jangle, to make a harsh metallic sound [v]"
jangler	"a storyteller, a jester [n -s]"
janglers	"jangler, a storyteller, a jester [n]"
jangles	"jangle, to make a harsh metallic sound [v]"
janglier	"jangly, making a jangling sound [adj]"
jangliest	"jangly, making a jangling sound [adj]"
jangling	a jangling noise [n -s]
janglings	"jangling, a jangling noise [n]"
jangly	"making a jangling sound [adj janglier, jangliest]"
janiform	"like the roman god janus; two-faced, hypocritical [adj]"
janisaries	"janisary, (turkish) a soldier of the old turkish footguards, also janissary, janizar, janizary [n]"
janisary	"(turkish) a soldier of the old turkish footguards, also janissary, janizar, janizary [n janisaries]"
janissaries	"janissary, (turkish) a soldier of the old turkish footguards, also janisary, janizar, janizary [n]"
janissary	"(turkish) a soldier of the old turkish footguards, also janisary, janizar, janizary [n janissaries]"
janitor	a doorkeeper; an attendant or caretaker [n -s]
janitorial	relating to a janitor [adj]
janitors	"janitor, a doorkeeper; an attendant or caretaker [n]"
janitorship	the office of janitor [n -s]
janitorships	"janitorship, the office of janitor [n]"
janitress	"a female janitor, also janitrix [n -es]"
janitresses	"janitress, a female janitor, also janitrix [n]"
janitrix	a female doorkeeper [n -es]
janitrixes	"janitrix, a female doorkeeper [n]"
janizar	"(turkish) a soldier of the old turkish footguards, also janisary, janissary, janizary [n -s]"
janizarian	"of or pertaining to the janizaries, or their government [adj]"
janizaries	"janizary, (turkish) a soldier of the old turkish footguards, also janisary, janissary, janizar [n]"
janizars	"janizar, (turkish) a soldier of the old turkish footguards, also janisary, janissary, janizary [n]"
janizary	"(turkish) a soldier of the old turkish footguards, also janisary, janissary, janizar [n janizaries]"
janker	a long pole on wheels for transporting logs [n -s]
jankers	"janker, a long pole on wheels for transporting logs [n]"
jann	"a supernatural being in muslim mythology, also djin, djinn, djinni, djinny, genie, jin, jinn, jinnee, jinni [n -s]"
janney	"to act as a disguised merrymaker at christmas, also janny [v -ed, -ing, -s]"
janneyed	"janney, to act as a disguised merrymaker at christmas, also janny [v]"
janneying	"janney, to act as a disguised merrymaker at christmas, also janny [v]"
janneys	"janney, to act as a disguised merrymaker at christmas, also janny [v]"
jannied	"janny, to act as a disguised merrymaker at christmas, also janney [v]"
jannies	janny [n]
jannock	"straightforward, honest, also jonnock [adj] / oaten bread [n -s]"
jannocks	"jannock, oaten bread [n]"
janns	"jann, a supernatural being in muslim mythology, also djin, djinn, djinni, djinny, genie, jin, jinn, jinnee, jinni [n]"
janny	"to act as a disguised merrymaker at christmas, also janney [v jannied, jannying, jannies]"
jannying	"janny, to act as a disguised merrymaker at christmas, also janney [v]"
jannyings	jannying [n]
jansky	the unit of strength of radio wave emission [n janskys]
janskys	"jansky, the unit of strength of radio wave emission [n]"
jantee	"(obsolete) jaunty, sprightly, also janty, jauntee, jauntie, jaunty, jonty [adj]"
jantier	"janty, briskly self-assured, also jaunty, jantee, jauntee [adj]"
janties	"janty, a naval master-at-arms, also jonty [n]"
jantiest	"janty, briskly self-assured, also jaunty, jantee, jauntee [adj]"
janty	"briskly self-assured, also jaunty, jantee, jauntee [adj jantier, jantiest] / a naval master-at-arms, also jonty [n janties]"
