
ha	expressing surprise [interj]
hackneys	"hackney, to make trite [v]"
hacks	"hack, to cut or chop roughly [v]"
hacksaw	"to cut with a type of saw [v hacksawed, hacksawn, hacksawing, hacksaws]"
hacksawed	"hacksaw, to cut with a type of saw [v]"
hacksawing	"hacksaw, to cut with a type of saw [v]"
hacksawn	"hacksaw, to cut with a type of saw [v]"
hacksaws	"hacksaw, to cut with a type of saw [v]"
hacktivism	the act of breaking into a computer system in order to pursue a political or social aim [n -s]
hacktivisms	"hacktivism, the act of breaking into a computer system in order to pursue a political or social aim [n]"
hacktivist	someone who hacks into computer systems as a form of protest [n -s]
hacktivists	"hacktivist, someone who hacks into computer systems as a form of protest [n]"
hackwork	artistic work done according to formula [n -s]
hackworks	"hackwork, artistic work done according to formula [n]"
hacqueton	"a stuffed jacket worn under mail, also acton, haqueton [n -s]"
hacquetons	"hacqueton, a stuffed jacket worn under mail, also acton, haqueton [n]"
had	"(scots) to hold [v had, hadden, hadding, hads]"
hadal	"of, relating to or being parts of the ocean below 6000 meters, below abyssal [adj]"
hadarim	"heder, (hebrew) a jewish school, also cheder [n]"
hadaway	an interjection urging someone on [interj]
hadden	"had, (scots) to hold [v]"
haddest	"(archaic) 2nd person past singular of have, to possess [v]"
haddie	(scots) a haddock [n -s]
haddies	"haddie, (scots) a haddock [n]"
hadding	"had, (scots) to hold [v]"
haddock	"a north atlantic food fish, similar to but smaller than the cod, also haddie [n -s]"
haddocks	"haddock, a north atlantic food fish, similar to but smaller than the cod, also haddie [n]"
hade	"to incline from the vertical [v haded, hading, hades]"
haded	"hade, to incline from the vertical [v]"
hadedah	(south african) a large greyish-green ibis [n -s]
hadedahs	"hadedah, (south african) a large greyish-green ibis [n]"
hades	"hade, to incline from the vertical [v]"
hading	"hade, to incline from the vertical [v]"
hadith	a record of the sayings of mohammed [n -s]
hadiths	"hadith, a record of the sayings of mohammed [n]"
hadj	"a pilgrimage to mecca, also haj, hajj [n -es]"
hadjee	"a person who has made a hadj, also hadji, haji, hajji [n -s]"
hadjees	"hadjee, a person who has made a hadj, also hadji, haji, hajji [n]"
hadjes	"hadj, a pilgrimage to mecca, also haj, hajj [n]"
hadji	"a person who has made a hadj, also hadjee, haji, hajji [n -s]"
hadjis	"hadji, a person who has made a hadj, also hadjee, haji, hajji [n]"
hadrome	the conducting tissue of the xylem [n -s]
hadromes	"hadrome, the conducting tissue of the xylem [n]"
hadron	"one of a class of subatomic particles, including baryons and mesons [n -s]"
hadronic	relating to a hadron [adj]
hadrons	"hadron, one of a class of subatomic particles, including baryons and mesons [n]"
hadrosaur	a bird-hipped dinosaur of the cretaceous [n -s]
hadrosaurs	"hadrosaur, a bird-hipped dinosaur of the cretaceous [n]"
hadrosaurus	a large dinosaur [n -es]
hadrosauruses	"hadrosaurus, a large dinosaur [n]"
hads	"had, (scots) to hold [v]"
hadst	"(archaic) 2nd person past singular of have, to possess, also haddest [v]"
hae	"(scots) to have [v haed, haen, haeing, haes]"
haecceities	"haecceity, the quality that makes a thing describable as 'this'; particular character, individuality [n]"
haecceity	"the quality that makes a thing describable as 'this'; particular character, individuality [n haecceities]"
haed	"hae, (scots) to have [v]"
haeing	"hae, (scots) to have [v]"
haem	"the pigment combined with protein in haemoglobin, also heme [n -s]"
haemachrome	"a blood pigment, such as haemoglobin, that carries oxygen, also hemachrome [n -s]"
haemachromes	"haemachrome, a blood pigment, such as haemoglobin, that carries oxygen, also hemachrome [n]"
haemacytometer	"an apparatus for counting the number of cells in a quantity of blood, typically consisting of a graduated pipette for drawing and diluting, also hemacytometer [n -s]"
haemacytometers	"haemacytometer, an apparatus for counting the number of cells in a quantity of blood, typically consisting of a graduated pipette for drawing and diluting, also hemacytometer [n]"
haemagglutinate	"to cause the clumping of red blood cells in (a blood sample), also hemagglutinate [v]"
haemagglutinin	"a virus, antibody or other agent causing haemagglutination, also hemagglutinin [n -s]"
haemagglutinins	"haemagglutinin, a virus, antibody or other agent causing haemagglutination, also hemagglutinin [n]"
haemagogue	"a drug that promotes the flow of blood, also hemagog, hemagogue [n -s]"
haemagogues	"haemagogue, a drug that promotes the flow of blood, also hemagog, hemagogue [n]"
haemal	"pertaining to the blood, also haematal, haemic, haemoid, hemal, hematal, hemic, hemoid [adj]"
haemangioma	"a usually benign tumour made up of blood vessels, also hemangioma [n haemangiomas or haemangiomata]"
haemangiomas	"haemangioma, a usually benign tumour made up of blood vessels, also hemangioma [n]"
haemangiomata	"haemangioma, a usually benign tumour made up of blood vessels, also hemangioma [n]"
haematal	"pertaining to the blood, also haemal, haemic, haemoid, hemal, hematal, hemic, hemoid [adj]"
haematein	"a dark purple crystalline substance obtained from logwood and used as an indicator and biological stain, also hematein [n -s]"
haemateins	"haematein, a dark purple crystalline substance obtained from logwood and used as an indicator and biological stain, also hematein [n]"
haematemeses	"haematemesis, vomiting of blood from the stomach, also hematemesis [n]"
haematemesis	"vomiting of blood from the stomach, also hematemesis [n haematemeses]"
haematic	"a medicine for a blood disease, also hematic [n -s]"
haematics	"haematic, a medicine for a blood disease, also hematic [n]"
haematin	"a brown substance containing ferric iron obtained from dried blood, also hematin, hematine [n -s]"
haematinic	"having the effect of increasing the haemoglobin or of stimulating the production of red blood cells [adj] / a drug that stimulates the production of red blood cells, also hematinic [n -s]"
haematinics	"haematinic, a drug that stimulates the production of red blood cells, also hematinic [n]"
haematins	"haematin, a brown substance containing ferric iron obtained from dried blood, also hematin, hematine [n]"
haematite	"an ore of iron, also hematite [n -s]"
haematites	"haematite, an ore of iron, also hematite [n]"
haematitic	"of or like haematite, an ore of iron, also hematitic [adj]"
haematoblast	"a blood platelet, also hematoblast [n -s]"
haematoblastic	"of or like haematoblast, a blood platelet, also hematoblastic [adj]"
haematoblasts	"haematoblast, a blood platelet, also hematoblast [n]"
haematocele	"a cavity containing blood, also hematocele [n -s]"
haematoceles	"haematocele, a cavity containing blood, also hematocele [n]"
haematocrit	"a graduated capillary tube in which the blood is centrifuged, to determine the ratio, by volume, of blood cells to plasma, also hematocrit [n -s]"
haematocrits	"haematocrit, a graduated capillary tube in which the blood is centrifuged, to determine the ratio, by volume, of blood cells to plasma, also hematocrit [n]"
haematocryal	"of all animals except birds and mammals, having a body temperature that varies with the temperature of the surroundings, also hematocryal [adj]"
haematogeneses	"haematogenesis, the production of blood, also hematogenesis [n]"
haematogenesis	"the production of blood, also hematogenesis [n haematogeneses]"
haematogenetic	"relating to haematogenesis, the production of blood [adj]"
haematogenic	"relating to haematogenesis, the production of blood, also hematogenic [adj]"
haematogenous	"relating to haematogenesis, the production of blood, also hematogenous [adj]"
haematoid	"resembling blood, also hematoid [adj]"
haematologic	"relating to haematology, also haematological, hematologic, hematological [adj]"
haematological	"related to haematology, also haematologic, hematologic, hematological [adj]"
haematologies	"haematology, the study of blood, diseases of blood, and blood-forming tissues, also hematology [n]"
haematologist	"a specialist in haematology, also hematologist [n -s]"
haematologists	"haematologist, a specialist in haematology, also hematologist [n]"
haematology	"the study of blood, diseases of blood, and blood-forming tissues, also hematology [n haematologies]"
haematolyses	"haematolysis, breaking up of red blood corpuscles, also hematolysis [n]"
haematolysis	"breaking up of red blood corpuscles, also hematolysis [n haematolyses]"
haematoma	"a swelling composed of blood effused into tissues, also hematoma [n haematomas or haematomata]"
haematomas	"haematoma, a swelling composed of blood effused into tissues, also hematoma [n]"
haematomata	"haematoma, a swelling composed of blood effused into tissues, also hematoma [n]"
haematophagous	"of certain animals, feeding on blood, also hematophagous [adj]"
haematopoieses	"haematopoiesis, the formation of blood, also haemopoiesis, hematopoiesis, hemopoiesis [n]"
haematopoiesis	"the formation of blood, also haemopoiesis, hematopoiesis, hemopoiesis [n haematopoieses]"
haematopoietic	"relating to haematopoiesis, the formation of blood, also hematopoietic [adj]"
haematoses	"haematosis, the formation of blood; conversion of venous into arterial blood, also hematosis [n]"
haematosis	"the formation of blood; conversion of venous into arterial blood, also hematosis [n haematoses]"
haematothermal	"of birds and mammals, having a constant body temperature, usually higher than the temperature of the surroundings, also hematothermal [adj]"
haematoxylic	of or like haematoxylin [adj]
haematoxylin	"a dye obtained from logwood, also hematoxylin [n -s]"
haematoxylins	"haematoxylin, a dye obtained from logwood, also hematoxylin [n]"
haematoxylon	"any thorny leguminous tree of the genus haematoxylon, esp. the logwood, of tropical america and sw africa, the heartwood of which yields the dye haematoxylin [n -s]"
haematoxylons	"haematoxylon, any thorny leguminous tree of the genus haematoxylon, esp. the logwood, of tropical america and sw africa, the heartwood of which yields the dye haematoxylin [n]"
haematozoa	"haematozoon, any microorganism, esp. a protozoan, that is parasitic in the blood, also hematozoon [n]"
haematozoon	"any microorganism, esp. a protozoan, that is parasitic in the blood, also hematozoon [n haematozoa]"
haematuria	"the presence of blood in the urine, also hematuria [n -s]"
haematurias	"haematuria, the presence of blood in the urine, also hematuria [n]"
haematuric	"relating to haematuria, the presence of blood in urine, also hematuric [adj]"
haemic	"pertaining to the blood, also haemal, haematal, haemoid, hemal, hematal, hemic, hemoid [adj]"
haemin	"the red, crystalline salt of haematin with hydrochloric acid, also hemin [n -s]"
haemins	"haemin, the red, crystalline salt of haematin with hydrochloric acid, also hemin [n]"
haemochrome	"a blood pigment, such as haemoglobin, that carries oxygen, also hemochrome [n -s]"
haemochromes	"haemochrome, a blood pigment, such as haemoglobin, that carries oxygen, also hemochrome [n]"
haemocoel	"the central body cavity of many invertebrates, also hemocoel [n -s]"
haemocoels	"haemocoel, the central body cavity of many invertebrates, also hemocoel [n]"
haemoconia	"small colourless granules in the blood, aka blood-dust, also hemoconia [n haemoconias]"
haemoconias	"haemoconia, small colourless granules in the blood, aka blood-dust, also hemoconia [n]"
haemocyanin	"an oxygen-carrying pigment in arachnids, equivalent to haemoglobin in mammals [n -s]"
haemocyanins	"haemocyanin, an oxygen-carrying pigment in arachnids, equivalent to haemoglobin in mammals [n]"
haemocyte	"a blood cell, esp. a red cell, also hemocyte [n -s]"
haemocytes	"haemocyte, a blood cell, esp. a red cell, also hemocyte [n]"
haemocytometer	"an apparatus for counting the number of cells in a quantity of blood, typically consisting of a graduated pipette for drawing and diluting, also hemocytometer [n -s]"
haemocytometers	"haemocytometer, an apparatus for counting the number of cells in a quantity of blood, typically consisting of a graduated pipette for drawing and diluting, also hemocytometer [n]"
haemodialyser	"an artificial kidney, also haemodialyzer, hemodialyzer [n -s]"
haemodialysers	"haemodialyser, an artificial kidney, also haemodialyzer, hemodialyzer [n]"
haemodialyses	"haemodialysis, dialysis of the blood using a kidney machine, also hemodialysis [n]"
haemodialysis	"dialysis of the blood using a kidney machine, also hemodialysis [n haemodialyses]"
haemodialyzer	"an artificial kidney, also haemodialyser, hemodialyzer [n -s]"
haemodialyzers	"haemodialyzer, an artificial kidney, also haemodialyser, hemodialyzer [n]"
haemodilution	"an increase in the fluid content of blood leading to a lower concentration of red blood cells, also hemodilution [n -s]"
haemodilutions	"haemodilution, an increase in the fluid content of blood leading to a lower concentration of red blood cells, also hemodilution [n]"
haemodynamic	"of or relating to blood circulation, also hemodynamic [adj]"
haemodynamics	"a branch of physiology that deals with the circulation of the blood, also hemodynamics [n]"
haemoflagellate	"a flagellate protozoan, such as a trypanosome, that is parasitic in the blood, also hemoflagellate [n]"
haemoglobin	"the iron-containing pigment which is the oxygen-carrying substance present in the red blood cells of vertebrates, also hemoglobin [n -s]"
haemoglobins	"haemoglobin, the iron-containing pigment which is the oxygen-carrying substance present in the red blood cells of vertebrates, also hemoglobin [n]"
haemoglobinuria	"the presence of haemoglobin in the urine, also hemoglobinuria [n]"
haemoglobinuric	"relating to the presence of haemoglobin in the urine, also hemoglobinuric [adj]"
haemoid	"pertaining to the blood, also haemal, haematal, haemic, hemal, hematal, hemic, hemoid [adj]"
haemolymph	"the blood-like fluid of invertebrates, also hemolymph [n -s]"
haemolymphs	"haemolymph, the blood-like fluid of invertebrates, also hemolymph [n]"
haemolyse	"to break down red blood cells, also haemolyze, hemolyse, hemolyze [v haemolysed, haemolysing, haemolyses]"
haemolysed	"haemolyse, to break down red blood cells, also haemolyze, hemolyse, hemolyze [v]"
haemolyses	"haemolysis, breaking up of red blood-corpuscles [n]"
haemolysin	"any substance, esp. an antibody, that causes the breakdown of red blood cells, also hemolysin [n -s]"
haemolysing	"haemolyse, to break down red blood cells, also haemolyze, hemolyse, hemolyze [v]"
haemolysins	"haemolysin, any substance, esp. an antibody, that causes the breakdown of red blood cells, also hemolysin [n]"
haemolysis	breaking up of red blood-corpuscles [n haemolyses]
haemolytic	"relating to haemolysis, the breaking up of red blood-corpuscles, also hemolytic [adj]"
haemolyze	"to break down red blood cells, also haemolyse, hemolyse, hemolyze [v haemolyzed, haemolyzing, haemolyzes]"
haemolyzed	"haemolyze, to break down red blood cells, also haemolyse, hemolyse, hemolyze [v]"
haemolyzes	"haemolyze, to break down red blood cells, also haemolyse, hemolyse, hemolyze [v]"
haemolyzing	"haemolyze, to break down red blood cells, also haemolyse, hemolyse, hemolyze [v]"
haemonies	"haemony, a plant which could act against magic [n]"
haemony	a plant which could act against magic [n haemonies]
haemophile	"a person with haemophilia, also hemophile [n -s]"
haemophiles	"haemophile, a person with haemophilia, also hemophile [n]"
haemophilia	a hereditary disease causing excessive bleeding when any blood vessel is even slightly injured [n -s]
haemophiliac	one suffering from haemophilia [n -s]
haemophiliacs	"haemophiliac, one suffering from haemophilia [n]"
haemophilias	"haemophilia, a hereditary disease causing excessive bleeding when any blood vessel is even slightly injured [n]"
haemophilic	"suffering from haemophilia, also hemophilic [adj]"
haemophilioid	"relating to haemophilia, also hemophilioid [adj]"
haemopoieses	"haemopoiesis, the formation of blood, also haematopoiesis, hematopoiesis, hemopoiesis [n]"
haemopoiesis	"the formation of blood, also haematopoiesis, hematopoiesis, hemopoiesis [n haemopoieses]"
haemopoietic	"relating to haemopoiesis, the formation of blood [adj]"
haemoprotein	"a conjugated protein, such as hemoglobin or cytochrome, whose prosthetic group is a porphyrin combined with iron, also hemoprotein [n -s]"
haemoproteins	"haemoprotein, a conjugated protein, such as hemoglobin or cytochrome, whose prosthetic group is a porphyrin combined with iron, also hemoprotein [n]"
haemoptyses	"haemoptysis, the spitting or coughing up of blood from the lungs [n]"
haemoptysis	the spitting or coughing up of blood from the lungs [n haemoptyses]
haemorrhage	"a discharge of blood from the blood vessels [n -s] / to lose blood from the blood vessels, also hemorrhage [v haemorrhaged, haemorrhaging, haemorrhages]"
haemorrhaged	"haemorrhage, to lose blood from the blood vessels, also hemorrhage [v]"
haemorrhages	"haemorrhage, to lose blood from the blood vessels, also hemorrhage [v]"
haemorrhagic	"relating to haemorrhage, also hemorrhagic [adj]"
haemorrhaging	"haemorrhage, to lose blood from the blood vessels, also hemorrhage [v]"
haemorrhoid	"dilatation of a vein around the anus, also hemorrhoid [n -s]"
haemorrhoidal	"relating to haemorrhoids, also hemorrhoidal [adj]"
haemorrhoids	"haemorrhoid, dilatation of a vein around the anus, also hemorrhoid [n]"
haemosiderin	"a pigment that is formed in some phagocytic cells by the breakdown of hemoglobin and is probably essentially a denatured form of ferritin, also hemosiderin [n -s]"
haemosiderins	"haemosiderin, a pigment that is formed in some phagocytic cells by the breakdown of hemoglobin and is probably essentially a denatured form of ferritin, also hemosiderin [n]"
haemostases	"haemostasis, stoppage of bleeding or the circulation, also haemostasia, hemostasia, hemostasis [n]"
haemostasia	"the stoppage of bleeding or the circulation, also haemostasis, hemostasia, hemostasis [n -s]"
haemostasias	"haemostasia, the stoppage of bleeding or the circulation, also haemostasis, hemostasia, hemostasis [n]"
haemostasis	"stoppage of bleeding or the circulation, also haemostasia, hemostasia, hemostasis [n haemostases]"
haemostat	"an instrument for stopping bleeding, also hemostat [n -s]"
haemostatic	"a styptic, also hemostatic [n -s]"
haemostatics	"haemostatic, a styptic, also hemostatic [n]"
haemostats	"haemostat, an instrument for stopping bleeding, also hemostat [n]"
haemotoxic	"of or like a haemotoxin, a substance that destroys red blood cells, also hemotoxic [adj]"
haemotoxin	"a substance that destroys red blood cells, also hemotoxin [n -s]"
haemotoxins	"haemotoxin, a substance that destroys red blood cells, also hemotoxin [n]"
haems	"haem, the pigment combined with protein in haemoglobin, also heme [n]"
haen	"hae, (scots) to have [v]"
haeredes	"haeres, an heir, also heres [n]"
haeremai	(maori) welcome [n -s]
haeremais	"haeremai, (maori) welcome [n]"
haeres	"an heir, also heres [n haeredes]"
haes	"hae, (scots) to have [v]"
haet	a small amount [n -s]
haets	"haet, a small amount [n]"
haff	(german) a lagoon separated from the sea by a long sandbar [n -s]
haffet	"(scots) the cheekbone and temple, also haffit [n -s]"
haffets	"haffet, (scots) the cheekbone and temple, also haffit [n]"
haffit	"(scots) the cheekbone and temple, also haffet [n -s]"
haffits	"haffit, (scots) the cheekbone and temple, also haffet [n]"
hafflin	"(scots) a half-grown person, also halfling, halflin [n -s]"
hafflins	"hafflin, (scots) a half-grown person, also halfling, halflin [n]"
haffs	"haff, (german) a lagoon separated from the sea by a long sandbar [n]"
hafiz	a muslim who knows the koran by heart [n -es]
hafizes	"hafiz, a muslim who knows the koran by heart [n]"
hafnium	a metallic element [n -s]
hafniums	"hafnium, a metallic element [n]"
haft	"a handle, esp. of an axe or knife [n -s] / to set in a haft; to establish firmly [v -ed, -ing, -s]"
haftara	"a biblical selection, also haftarah, haftorah, haphtara, haphtarah [n haftaras, haftarot, haftaroth]"
haftarah	"(hebrew) a biblical selection, also haftara, haftorah, haphtara, haphtarah [n haftarahs, haftarot, haftaroth or haftaros]"
haftarahs	"haftarah, (hebrew) a biblical selection, also haftara, haftorah, haphtara, haphtarah [n]"
haftaras	"haftara, a biblical selection, also haftarah, haftorah, haphtara, haphtarah [n]"
haftaros	"haftarah, (hebrew) a biblical selection, also haftara, haftorah, haphtara, haphtarah [n]"
haftarot	"haftara, a biblical selection, also haftarah, haftorah, haphtara, haphtarah [n]"
haftaroth	"haftara, a biblical selection, also haftarah, haftorah, haphtara, haphtarah [n]"
hafted	"haft, to set in a haft; to establish firmly [v]"
hafter	"a caviler, a wrangler [n -s]"
hafters	"hafter, a caviler, a wrangler [n]"
hafting	"haft, to set in a haft; to establish firmly [v]"
haftorah	"a biblical selection, also haftara, haftarah, haphtara, haphtarah [n haftorahs, haftorot, haftoroth or haftoros]"
haftorahs	"haftorah, a biblical selection, also haftara, haftarah, haphtara, haphtarah [n]"
haftoros	"haftorah, a biblical selection, also haftara, haftarah, haphtara, haphtarah [n]"
haftorot	"haftorah, a biblical selection, also haftara, haftarah, haphtara, haphtarah [n]"
haftoroth	"haftorah, a biblical selection, also haftara, haftarah, haphtara, haphtarah [n]"
hafts	"haft, to set in a haft; to establish firmly [v]"
hag	"(scots) to hack [v hagged, hagging, hags]"
hagadic	"(hebrew) relating to the haggadah, the pesach guidebook, used during seder, also aggadic, haggadic, haggadical [adj]"
hagadist	"(hebrew) a scholar versed in the haggadah, the pesach guidebook, used during seder, also haggadist [n -s]"
hagadists	"hagadist, (hebrew) a scholar versed in the haggadah, the pesach guidebook, used during seder, also haggadist [n]"
hagberries	"hagberry, a genus of trees related to the elm, but bearing drupes with scanty, but often edible, pulp, also hackberry [n]"
hagberry	"a genus of trees related to the elm, but bearing drupes with scanty, but often edible, pulp, also hackberry [n hagberries]"
hagbolt	"a sea bird, the greater shearwater, also hackbolt, hagden, hagdon, hagdown [n -s]"
hagbolts	"hagbolt, a sea bird, the greater shearwater, also hackbolt, hagden, hagdon, hagdown [n]"
hagborn	born of a witch [adj]
hagbush	a large tree [n -es]
hagbushes	"hagbush, a large tree [n]"
