
za	(slang) pizza [n -s]
zananas	"zanana, (urdu) in the indian subcontinent, the part of a house in which high-caste women are or were secluded, also zenana [n]"
zander	(german) a european pike perch allied to the walleye [n -s]
zanders	"zander, (german) a european pike perch allied to the walleye [n]"
zanella	a mixed twilled umbrella fabric [n -s]
zanellas	"zanella, a mixed twilled umbrella fabric [n]"
zanied	"zany, (obsolete) to play the zany to [v]"
zanier	"zany, comical, clownish [adj]"
zanies	"zany, (obsolete) to play the zany to [v]"
zaniest	"zany, comical, clownish [adj]"
zanily	"zany, comical, clownish [adv]"
zaniness	comicality [n -es]
zaninesses	"zaniness, comicality [n]"
zanja	(spanish) an irrigation canal in latin america [n -s]
zanjas	"zanja, (spanish) an irrigation canal in latin america [n]"
zanjero	(spanish) someone who supervises the distribution of water in irrigation canals [n -s]
zanjeros	"zanjero, (spanish) someone who supervises the distribution of water in irrigation canals [n]"
zante	the wood of the european smoke-tree [n -s]
zantedeschia	"a plant of the arum family, aka calla lily [n -s]"
zantedeschias	"zantedeschia, a plant of the arum family, aka calla lily [n]"
zantes	"zante, the wood of the european smoke-tree [n]"
zantewood	the wood of the zante tree [n -s]
zantewoods	"zantewood, the wood of the zante tree [n]"
zanthoxyl	"a plant of a genus of the rue family found in brazil, in particular the prickly-ash or hercules club, also xanthoxyl, zanthoxylum [n -s]"
zanthoxyls	"zanthoxyl, a plant of a genus of the rue family found in brazil, in particular the prickly-ash or hercules club, also xanthoxyl, zanthoxylum [n]"
zanthoxylum	"a plant of a genus of the rue family found in brazil, in particular the prickly-ash or hercules club, also xanthoxyl, zanthoxyl [n -s]"
zanthoxylums	"zanthoxylum, a plant of a genus of the rue family found in brazil, in particular the prickly-ash or hercules club, also xanthoxyl, zanthoxyl [n]"
zany	"comical, clownish [adj zanier, zaniest, zanily] / (obsolete) to play the zany to [v zanied, zanying, zanies]"
zanying	"zany, (obsolete) to play the zany to [v]"
zanyish	somewhat zany [adj]
zanyism	the state of being a buffoon [n -s]
zanyisms	"zanyism, the state of being a buffoon [n]"
zanza	"(arabic) an african musical instrument, also sansa, zanze [n -s]"
zanzas	"zanza, (arabic) an african musical instrument, also sansa, zanze [n]"
zanze	"(arabic) an african musical instrument, also sansa, zanza [n -s]"
zanzes	"zanze, (arabic) an african musical instrument, also sansa, zanza [n]"
zap	"to kill or destroy instantaneously [v zapped, zapping, zaps]"
zapata	denoting a kind of drooping moustache [adj]
zapateado	(spanish) a latin-american dance with rhythmic tapping of the feet [n -s]
zapateados	"zapateado, (spanish) a latin-american dance with rhythmic tapping of the feet [n]"
zapateo	(spanish) a spanish dance [n -s]
zapateos	"zapateo, (spanish) a spanish dance [n]"
zapotilla	"(spanish) the edible fruit of a mexican tree, also sapodilla, sapota, sapote [n -s]"
zapotillas	"zapotilla, (spanish) the edible fruit of a mexican tree, also sapodilla, sapota, sapote [n]"
zapped	"zap, to kill or destroy instantaneously [v]"
zapper	a device that zaps [n -s]
zappers	"zapper, a device that zaps [n]"
zappier	"zappy, (slang) full of verve [adj]"
zappiest	"zappy, (slang) full of verve [adj]"
zapping	"zap, to kill or destroy instantaneously [v]"
zappy	"(slang) full of verve [adj zappier, zappiest]"
zaps	"zap, to kill or destroy instantaneously [v]"
zaptiah	"(turkish) a turkish policeman, also zabtieh, zaptieh [n -s]"
zaptiahs	"zaptiah, (turkish) a turkish policeman, also zabtieh, zaptieh [n]"
zaptieh	"(turkish) a turkish policeman, also zabtieh, zaptiah [n -s]"
zaptiehs	"zaptieh, (turkish) a turkish policeman, also zabtieh, zaptiah [n]"
zarape	"(spanish) a blanket or shawl worn as an outer garment by spanish americans, also sarape, serape [n -s]"
zarapes	"zarape, (spanish) a blanket or shawl worn as an outer garment by spanish americans, also sarape, serape [n]"
zaratite	"a mineral, a hydrous carbonate of nickel [n -s]"
zaratites	"zaratite, a mineral, a hydrous carbonate of nickel [n]"
zareba	"(arabic) an improvised stockade, esp. one made of thorn bushes, etc., also zareeba, zariba, zereba, zeriba [n -s]"
zarebas	"zareba, (arabic) an improvised stockade, esp. one made of thorn bushes, etc., also zareeba, zariba, zereba, zeriba [n]"
zareeba	"(arabic) an improvised stockade, esp. one made of thorn bushes, etc., also zareba, zariba, zereba, zeriba [n -s]"
zareebas	"zareeba, (arabic) an improvised stockade, esp. one made of thorn bushes, etc., also zareba, zariba, zereba, zeriba [n]"
zarf	"(arabic) an ornamental metal holder for a handleless coffee cup, also zurf [n -s]"
zarfs	"zarf, (arabic) an ornamental metal holder for a handleless coffee cup, also zurf [n]"
zari	(urdu) a type of thread made of fine gold or silver wire used in traditional indian and pakistani garments [n -s]
zariba	"(arabic) an improvised stockade, esp. one made of thorn bushes, etc., also zareba, zareeba, zereba, zeriba [n -s]"
zaribas	"zariba, (arabic) an improvised stockade, esp. one made of thorn bushes, etc., also zareba, zareeba, zereba, zeriba [n]"
zaris	"zari, (urdu) a type of thread made of fine gold or silver wire used in traditional indian and pakistani garments [n]"
zarnec	"(arabic) a native sulphide of arsenic, also zarnich [n -s]"
zarnecs	"zarnec, (arabic) a native sulphide of arsenic, also zarnich [n]"
zarnich	"(arabic) a native sulphide of arsenic, also zarnec [n -s]"
zarnichs	"zarnich, (arabic) a native sulphide of arsenic, also zarnec [n]"
zarzuela	(spanish) a traditional spanish vaudeville show; a fish and shellfish stew [n -s]
zarzuelas	"zarzuela, (spanish) a traditional spanish vaudeville show; a fish and shellfish stew [n]"
zas	"za, (slang) pizza [n]"
zastruga	"(russian) long parallel ridges of snow that form on windy plains, also sastruga [n zastrugi]"
zastrugi	"zastruga, (russian) long parallel ridges of snow that form on windy plains, also sastruga [n]"
zati	the bonnet-monkey [n -s]
zatis	"zati, the bonnet-monkey [n]"
zax	"a chopper for trimming slate, also sax, zex [n -es]"
zaxes	"zax, a chopper for trimming slate, also sax, zex [n]"
zayin	(hebrew) a hebrew letter [n -s]
zayins	"zayin, (hebrew) a hebrew letter [n]"
zazen	(japanese) zen meditation [n -s]
zazens	"zazen, (japanese) zen meditation [n]"
zea	"part of a cereal plant, once used as a diuretic [n -s]"
zeal	enthusiasm [n -s]
zealant	"a fanatic, also zealot, zelant [n -s]"
zealants	"zealant, a fanatic, also zealot, zelant [n]"
zealful	full of enthusiasm [adj]
zealless	lacking zeal [adj]
zealot	"a fanatic, also zealant, zelant [n -s]"
zealotism	"the character or conduct of a zealot, also zealotry [n -s]"
zealotisms	"zealotism, the character or conduct of a zealot, also zealotry [n]"
zealotries	"zealotry, the character or conduct of a zealot, also zealotism [n]"
zealotry	"the character or conduct of a zealot, also zealotism [n zealotries]"
zealots	"zealot, a fanatic, also zealant, zelant [n]"
zealous	filled with zeal [adj zealously]
zealously	"zealous, filled with zeal [adv]"
zealousness	the state of being zealous [n -es]
zealousnesses	"zealousness, the state of being zealous [n]"
zeals	"zeal, enthusiasm [n]"
zeas	"zea, part of a cereal plant, once used as a diuretic [n]"
zeatin	a chemical compound found in maize [n -s]
zeatins	"zeatin, a chemical compound found in maize [n]"
zebec	"a small, three-masted mediterranean vessel with both square and triangular sails, also xebec, zebeck [n -s]"
zebeck	"a small, three-masted mediterranean vessel with both square and triangular sails, also xebec, zebec [n -s]"
zebecks	"zebeck, a small, three-masted mediterranean vessel with both square and triangular sails, also xebec, zebec [n]"
zebecs	"zebec, a small, three-masted mediterranean vessel with both square and triangular sails, also xebec, zebeck [n]"
zebra	an african mammal related to the horse [n -s]
zebrafish	a striped tropical fish [n -es]
zebrafishes	"zebrafish, a striped tropical fish [n]"
zebraic	like a zebra [adj]
zebrano	a tree having striped wood [n -s]
zebranos	"zebrano, a tree having striped wood [n]"
zebras	"zebra, an african mammal related to the horse [n]"
zebrass	the offspring of a zebra and an ass [n -es]
zebrasses	"zebrass, the offspring of a zebra and an ass [n]"
zebrawood	"a kind of cabinet wood having beautiful black, brown, and whitish stripes, the timber of a tropical american tree [n -s]"
zebrawoods	"zebrawood, a kind of cabinet wood having beautiful black, brown, and whitish stripes, the timber of a tropical american tree [n]"
zebrina	a trailing or creeping central american plant [n -s]
zebrinas	"zebrina, a trailing or creeping central american plant [n]"
zebrine	a member of the zebra family [n -s]
zebrines	"zebrine, a member of the zebra family [n]"
zebrinnies	"zebrinny, the offspring of a male horse and a female zebra [n]"
zebrinny	the offspring of a male horse and a female zebra [n zebrinnies]
zebroid	of or like a zebra [adj]
zebrula	"the offspring of a male zebra and a female horse, also zebrule [n -s]"
zebrulas	"zebrula, the offspring of a male zebra and a female horse, also zebrule [n]"
zebrule	"the offspring of a male zebra and a female horse, also zebrula [n -s]"
zebrules	"zebrule, the offspring of a male zebra and a female horse, also zebrula [n]"
zebu	(french) a humped domestic ox [n -s]
zebub	"(arabic) an ethiopian dipterous insect, also zimb [n -s]"
zebubs	"zebub, (arabic) an ethiopian dipterous insect, also zimb [n]"
zebus	"zebu, (french) a humped domestic ox [n]"
zecchin	"(italian) a former italian gold coin, also zecchine, zecchino, zechin [n -s]"
zecchine	"(italian) a former italian gold coin, also zecchin, zecchino, zechin [n -s]"
zecchines	"zecchine, (italian) a former italian gold coin, also zecchin, zecchino, zechin [n]"
zecchini	"zecchino, (italian) a former italian gold coin, also zecchin, zecchine, zechin [n]"
zecchino	"(italian) a former italian gold coin, also zecchin, zecchine, zechin [n zecchini or zecchinos]"
zecchinos	"zecchino, (italian) a former italian gold coin, also zecchin, zecchine, zechin [n]"
zecchins	"zecchin, (italian) a former italian gold coin, also zecchine, zecchino, zechin [n]"
zechin	"(italian) a former italian gold coin, also zecchin, zecchine, zecchino [n -s]"
zechins	"zechin, (italian) a former italian gold coin, also zecchin, zecchine, zecchino [n]"
zed	"the letter z, also zee [n -s]"
zeda	"(yiddish) a grandfather, also zaida, zaideh, zaidy [n -s]"
zedas	"zeda, (yiddish) a grandfather, also zaida, zaideh, zaidy [n]"
zedoaries	"zedoary, the medicinal root of a tropical plant [n]"
zedoary	the medicinal root of a tropical plant [n zedoaries]
zeds	"zed, the letter z, also zee [n]"
zee	"(us) the letter z, also zed [n -s]"
zees	"zee, (us) the letter z, also zed [n]"
zein	a protein found in indian corn [n -s]
zeins	"zein, a protein found in indian corn [n]"
zeitgeber	"(german) an environmental cue, such as light, that helps to regulate the biological clock in an organism [n -s]"
zeitgebers	"zeitgeber, (german) an environmental cue, such as light, that helps to regulate the biological clock in an organism [n]"
zeitgeist	"(german) the general intellectual, moral and cultural climate of an era [n -s]"
zeitgeists	"zeitgeist, (german) the general intellectual, moral and cultural climate of an era [n]"
zeitgeisty	"of, relating to, or typical of the zeitgeist [adj]"
zek	a prisoner in a labour camp in ussr [n -s]
zeks	"zek, a prisoner in a labour camp in ussr [n]"
zel	an oriental cymbal [n -s]
zelant	"a zealot, a religious fanatic, also zealant [n -s]"
zelants	"zelant, a zealot, a religious fanatic, also zealant [n]"
zelator	"a nun whose duty is to keep watch on the behaviour of younger nuns in the convent, also zelatrice, zelatrix [n -s]"
zelators	"zelator, a nun whose duty is to keep watch on the behaviour of younger nuns in the convent, also zelatrice, zelatrix [n]"
zelatrice	"a nun whose duty is to keep watch on the behaviour of younger nuns in the convent, also zelator, zelatrix [n -s]"
zelatrices	"zelatrix, a nun whose duty is to keep watch on the behaviour of younger nuns in the convent, also zelator, zelatrice [n]"
zelatrix	"a nun whose duty is to keep watch on the behaviour of younger nuns in the convent, also zelator, zelatrice [n zelatrices]"
zelatrixes	"zelatrix, a nun whose duty is to keep watch on the behaviour of younger nuns in the convent, also zelator, zelatrice [n]"
zelkova	(japanese) a japanese tree [n -s]
zelkovas	"zelkova, (japanese) a japanese tree [n]"
zelophobia	an irrational fear of jealousy [n -s]
zelophobias	"zelophobia, an irrational fear of jealousy [n]"
zelophobic	"one who suffers from zelophobia, an irrational fear of jealousy [n -cs]"
zelophobics	"zelophobic, one who suffers from zelophobia, an irrational fear of jealousy [n]"
zeloso	"(italian) in music, with fervour [adv]"
zelotypia	(obsolete) jealousy; excessive zeal in carrying out a project [n -s]
zelotypias	"zelotypia, (obsolete) jealousy; excessive zeal in carrying out a project [n]"
zels	"zel, an oriental cymbal [n]"
zemindar	"(hindi) in india, a type of landowner, also zamindar [n -s]"
zemindari	"(hindi) the jurisdiction of a zemindar, also zamindari, zamindary, zemindary [n -s]"
zemindaries	"zemindary, (hindi) the jurisdiction of a zemindar, also zamindari, zamindary, zemindari [n]"
zemindaris	"zemindari, (hindi) the jurisdiction of a zemindar, also zamindari, zamindary, zemindary [n]"
zemindars	"zemindar, (hindi) in india, a type of landowner, also zamindar [n]"
zemindary	"(hindi) the jurisdiction of a zemindar, also zamindari, zamindary, zemindari [n zemindaries]"
zemstva	"zemstvo, (russian) an elected local administrative council in czarist russia [n]"
zemstvo	(russian) an elected local administrative council in czarist russia [n zemstva or zemstvos]
zemstvos	"zemstvo, (russian) an elected local administrative council in czarist russia [n]"
zenaida	a wild dove [n -s]
zenaidas	"zenaida, a wild dove [n]"
zenana	"(urdu) in the indian subcontinent, the part of a house in which high-caste women are or were secluded, also zanana [n -s]"
zenanas	"zenana, (urdu) in the indian subcontinent, the part of a house in which high-caste women are or were secluded, also zanana [n]"
zendik	"(arabic) in the east, one who abstains from magic or practises religion [n -s]"
zendiks	"zendik, (arabic) in the east, one who abstains from magic or practises religion [n]"
zendo	(japanese) a place where zen buddhists study [n -s]
zendos	"zendo, (japanese) a place where zen buddhists study [n]"
zenith	the highest point [n -s]
zenithal	of the highest point [adj]
zeniths	"zenith, the highest point [n]"
zeolite	any of a larger group of alumino-silicate minerals [n -s]
zeolites	"zeolite, any of a larger group of alumino-silicate minerals [n]"
zeolitic	of or pertaining to a zeolite [adj]
zeolitiform	having the form of a zeolite [adj]
zep	a long zeppelin shaped sandwich [n -s]
zephyr	a gentle breeze [n -s]
zephyrs	"zephyr, a gentle breeze [n]"
zeppelin	"(german) a dirigible, cigar-shaped airship of the type designed by count zeppelin (c. 1900) [n -s]"
zeppelins	"zeppelin, (german) a dirigible, cigar-shaped airship of the type designed by count zeppelin (c. 1900) [n]"
zeppole	(italian) an italian fritter [n zeppoles or zeppoli]
zeppoles	"zeppole, (italian) an italian fritter [n]"
zeppoli	"zeppole, (italian) an italian fritter [n]"
zeps	"zep, a long zeppelin shaped sandwich [n]"
zeptosecond	a 10 to the -21 part of a second [n -s]
zeptoseconds	"zeptosecond, a 10 to the -21 part of a second [n]"
zerda	"(arabic) a desert fox, aka fennec [n -s]"
zerdas	"zerda, (arabic) a desert fox, aka fennec [n]"
zereba	"(arabic) an improvised stockade; esp. one made of thorn bushes, etc., also zareba, zareeba, zariba, zeriba [n -s]"
zerebas	"zereba, (arabic) an improvised stockade; esp. one made of thorn bushes, etc., also zareba, zareeba, zariba, zeriba [n]"
zeriba	"(arabic) an improvised stockade, esp. one made of thorn bushes, etc., also zareba, zareeba, zariba, zereba [n -s]"
zeribas	"zeriba, (arabic) an improvised stockade, esp. one made of thorn bushes, etc., also zareba, zareeba, zariba, zereba [n]"
zerk	"a fitting on a bearing, axle, etc. by which lubricant can be introduced under pressure [n -s]"
zerks	"zerk, a fitting on a bearing, axle, etc. by which lubricant can be introduced under pressure [n]"
zero	"to set at or adjust to zero [v zeroed, zeroing, zeroes or zeros]"
zeroed	"zero, to set at or adjust to zero [v]"
zeroes	"zero, to set at or adjust to zero [v]"
zeroing	"zero, to set at or adjust to zero [v]"
zeros	"zero, to set at or adjust to zero [v]"
zeroth	being numbered zero in a series [adj]
zerumbet	"(persian) an east indian drug, related to cassumunar and zedoary [n -s]"
zerumbets	"zerumbet, (persian) an east indian drug, related to cassumunar and zedoary [n]"
zest	"enthusiasm; relish [n -s] / to give zest to [v -ed, -ing, -s]"
zested	"zest, to give zest to [v]"
zester	a utensil for peeling citrus rind [n -s]
zesters	"zester, a utensil for peeling citrus rind [n]"
zestful	full of zest [adj zestfully]
zestfully	"zestful, full of zest [adv]"
zestfulness	the state of being zestful [n -es]
zestfulnesses	"zestfulness, the state of being zestful [n]"
zestier	"zesty, full of zest [adj]"
zestiest	"zesty, full of zest [adj]"
zestily	"zesty, full of zest [adv]"
zestiness	the quality of being zesty [n -es]
zestinesses	"zestiness, the quality of being zesty [n]"
zesting	"zest, to give zest to [v]"
zestless	without zest [adj]
zests	"zest, to give zest to [v]"
zesty	"full of zest [adj zestier, zestiest, zestily]"
zeta	(greek) a greek letter [n -s]
zetas	"zeta, (greek) a greek letter [n]"
zetetic	"a search, an enquiry [n -s]"
zetetics	"zetetic, a search, an enquiry [n]"
zettabyte	"a unit of computer memory, 10 to the 21 bytes [n -s]"
zettabytes	"zettabyte, a unit of computer memory, 10 to the 21 bytes [n]"
zeuglodont	any of a genus of fossil whales [n -s]
zeuglodonts	"zeuglodont, any of a genus of fossil whales [n]"
zeugma	(greek) a figure of speech [n -s]
zeugmas	"zeugma, (greek) a figure of speech [n]"
zeugmatic	"of or pertaining to zeugma, the literary device of using word to modify two other words with only one of which it is correctly used [adj zeugmatically]"
zeugmatically	"zeugmatic, of or pertaining to zeugma, the literary device of using word to modify two other words with only one of which it is correctly used [adv]"
zeuxite	"a mineral, ferriferous tourmaline [n -s]"
zeuxites	"zeuxite, a mineral, ferriferous tourmaline [n]"
zex	"a chopper for trimming slate, also sax, zax [n -es]"
zexes	"zex, a chopper for trimming slate, also sax, zax [n]"
zeze	(bantu) a stringed musical instrument of africa [n -s]
zezes	"zeze, (bantu) a stringed musical instrument of africa [n]"
zho	"(tibetan) a cross between a yak and a cow, also dso, dzho, dzo, zo [n -s]"
zhomo	"(tibetan) the female of the zho, also dsomo, jomo [n -s]"
zhomos	"zhomo, (tibetan) the female of the zho, also dsomo, jomo [n]"
zhoosh	"to make more attractive [v -ed, -ing, -es]"
zhooshed	"zhoosh, to make more attractive [v]"
zhooshes	"zhoosh, to make more attractive [v]"
zhooshing	"zhoosh, to make more attractive [v]"
zhos	"zho, (tibetan) a cross between a yak and a cow, also dso, dzho, dzo, zo [n]"
zibeline	"the fur of the sable; a soft woollen material with a lustrous pile, also zibelline [n -s]"
zibelines	"zibeline, the fur of the sable; a soft woollen material with a lustrous pile, also zibelline [n]"
zibelline	"the fur of the sable; a soft woollen material with a lustrous pile, also zibeline [n -s]"
zibellines	"zibelline, the fur of the sable; a soft woollen material with a lustrous pile, also zibeline [n]"
zibet	"(arabic) a civet cat, also zibeth [n -s]"
zibeth	"(arabic) a civet cat, also zibet [n -s]"
zibeths	"zibeth, (arabic) a civet cat, also zibet [n]"
zibets	"zibet, (arabic) a civet cat, also zibeth [n]"
zidovudine	the manufacturer's name for the drug azt [n -s]
zidovudines	"zidovudine, the manufacturer's name for the drug azt [n]"
ziff	"(australian slang) a beard, a goatee [n -s]"
ziffius	a sea-monster [n -es]
ziffiuses	"ziffius, a sea-monster [n]"
ziffs	"ziff, (australian slang) a beard, a goatee [n]"
zig	"to change course sharply [v zigged, zigging, zigs]"
zigan	"(hungarian) a gypsy, also tsigane, tzigane, tzigany [n -s]"
ziganka	(russian) a russian country dance [n -s]
zigankas	"ziganka, (russian) a russian country dance [n]"
zigans	"zigan, (hungarian) a gypsy, also tsigane, tzigane, tzigany [n]"
zigged	"zig, to change course sharply [v]"
zigging	"zig, to change course sharply [v]"
ziggurat	"a babylonian temple tower, also zikkurat, zikurat [n -s]"
ziggurats	"ziggurat, a babylonian temple tower, also zikkurat, zikurat [n]"
zigs	"zig, to change course sharply [v]"
zigzag	"to turn sharply from side to side [v zigzagged, zigzagging, zigzags]"
zigzagged	"zigzag, to turn sharply from side to side [v]"
zigzaggedness	"the state of being zigzag, also zigzaggery [n -es]"
zigzaggednesses	"zigzaggedness, the state of being zigzag, also zigzaggery [n]"
zigzagger	one who zigzags [n -s]
zigzaggeries	"zigzaggery, the state of being zigzag, also zigzaggedness [n]"
zigzaggers	"zigzagger, one who zigzags [n]"
zigzaggery	"the state of being zigzag, also zigzaggedness [n zigzaggeries]"
zigzaggier	"zigzaggy, having sharp turns [adj]"
zigzaggiest	"zigzaggy, having sharp turns [adj]"
zigzagging	"zigzag, to turn sharply from side to side [v]"
zigzaggy	"having sharp turns [adj zigzaggier, zigzaggiest]"
zigzags	"zigzag, to turn sharply from side to side [v]"
zikkurat	"a babylonian temple tower, also ziggurat, zikurat [n -s]"
zikkurats	"zikkurat, a babylonian temple tower, also ziggurat, zikurat [n]"
