
ma	(colloquial) mother [n -s]
macroaggregates	"macroaggregate, a relatively large particle (as of soil) [n]"
macrobian	long-lived [adj]
macrobiota	the larger organisms in the soil [n]
macrobiote	a long-lived organism [n -s]
macrobiotes	"macrobiote, a long-lived organism [n]"
macrobiotic	promoting longevity [adj]
macrobiotics	"the art or science of prolonging life; a cult partly concerned with diet, foods regarded as pure being vegetable substances grown and prepared without chemicals or processing [n]"
macrocarpa	an evergreen conifer of new zealand [n -s]
macrocarpas	"macrocarpa, an evergreen conifer of new zealand [n]"
macrocephalia	"the condition of having an abnormally large brain, also macrencephalia, macrencephaly [n macrencephalias]"
macrocephalias	"macrocephalia, the condition of having an abnormally large brain, also macrencephalia, macrencephaly [n]"
macrocephalic	having an abnormally large head or skull [adj]
macrocephalies	"macrocephaly, largeness, or abnormal largeness, of the head [n]"
macrocephalous	having a large head [adj]
macrocephaly	"largeness, or abnormal largeness, of the head [n macrocephalies]"
macroclimate	large-scale climate [n -s]
macroclimates	"macroclimate, large-scale climate [n]"
macroclimatic	relating to climate on a large scale [adj]
macrocode	a macro instruction [n -s]
macrocodes	"macrocode, a macro instruction [n]"
macrocopies	"macrocopy, an enlarged copy of printed material for people with weak sight [n]"
macrocopy	an enlarged copy of printed material for people with weak sight [n macrocopies]
macrocosm	a large and complex structure considered as a whole [n -s]
macrocosmic	relating to a macrocosm [adj macrocosmically]
macrocosmically	"macrocosmic, relating to a macrocosm [adv]"
macrocosms	"macrocosm, a large and complex structure considered as a whole [n]"
macrocycle	a macrocyclic organic molecule or compound [n -s]
macrocycles	"macrocycle, a macrocyclic organic molecule or compound [n]"
macrocyclic	containing or being a chemical ring that consists usually of 15 or more atoms [adj]
macrocyst	an unusually large cyst [n -s]
macrocysts	"macrocyst, an unusually large cyst [n]"
macrocyte	an abnormally large red blood corpuscle [n -s]
macrocytes	"macrocyte, an abnormally large red blood corpuscle [n]"
macrocytic	relating to a macrocyte [adj]
macrocytoses	"macrocytosis, the occurrence of macrocytes in the blood [n]"
macrocytosis	the occurrence of macrocytes in the blood [n macrocytoses]
macrodactyl	one of a group of wading birds [n -s]
macrodactylic	"having large fingers, also macrodactylous [adj]"
macrodactylies	"macrodactyly, the condition of being macrodactylous, having large fingers [n]"
macrodactylous	"having large fingers, also macrodactylic [adj]"
macrodactyls	"macrodactyl, one of a group of wading birds [n]"
macrodactyly	"the condition of being macrodactylous, having large fingers [n macrodactylies]"
macrodiagonal	"in crystallography, the longer lateral axis [n -s]"
macrodiagonals	"macrodiagonal, in crystallography, the longer lateral axis [n]"
macrodome	a dome parallel to the longer lateral axis of an orthorhombic crystal [n -s]
macrodomes	"macrodome, a dome parallel to the longer lateral axis of an orthorhombic crystal [n]"
macrodont	having large teeth [adj]
macroeconomic	relating to macroeconomics [adj]
macroeconomics	a study of economics in terms of whole systems esp. with reference to general levels of output and income and to the interrelations among sectors of the economy [n]
macroevolution	"evolution that results in relatively large and complex changes, as in species formation [n -s]"
macroevolutions	"macroevolution, evolution that results in relatively large and complex changes, as in species formation [n]"
macrofauna	animals visible to the naked eye [n macrofaunas or macrofaunae]
macrofaunae	"macrofauna, animals visible to the naked eye [n]"
macrofaunas	"macrofauna, animals visible to the naked eye [n]"
macroflora	plants visible to the naked eye [n macrofloras or macroflorae]
macroflorae	"macroflora, plants visible to the naked eye [n]"
macrofloras	"macroflora, plants visible to the naked eye [n]"
macrofossil	a fossil large enough to be seen with the naked eye [n -s]
macrofossils	"macrofossil, a fossil large enough to be seen with the naked eye [n]"
macrogamete	"the larger and usually female gamete of a heterogamous organism, also megagamete [n -s]"
macrogametes	"macrogamete, the larger and usually female gamete of a heterogamous organism, also megagamete [n]"
macroglia	one of the two types of non-nervous tissue found in the central nervous system [n -s]
macroglias	"macroglia, one of the two types of non-nervous tissue found in the central nervous system [n]"
macroglobulin	a highly polymerized globulin of high molecular weight [n -s]
macroglobulins	"macroglobulin, a highly polymerized globulin of high molecular weight [n]"
macrograph	"a photograph, drawing, etc. in which an object appears as large as or several times larger than the original [n -s]"
macrographic	"of or like a macrograph, a photograph, drawing, etc. in which an object appears as large as or several times larger than the original [adj]"
macrographs	"macrograph, a photograph, drawing, etc. in which an object appears as large as or several times larger than the original [n]"
macrolide	any of a class of antibiotics used to treat fungal infections [n -s]
macrolides	"macrolide, any of a class of antibiotics used to treat fungal infections [n]"
macrologies	"macrology, much talk with little to say [n]"
macrology	much talk with little to say [n macrologies]
macromarketing	"marketing concerning all marketing as a whole, marketing systems, and the mutual effect that society and marketing systems have on each other [n -s]"
macromarketings	"macromarketing, marketing concerning all marketing as a whole, marketing systems, and the mutual effect that society and marketing systems have on each other [n]"
macromere	"a large blastomere, one of the segments first formed by the division of the ovum [n -s]"
macromeres	"macromere, a large blastomere, one of the segments first formed by the division of the ovum [n]"
macromole	"in chemistry, a large mole [n -s]"
macromolecular	of or like a macromolecule [adj]
macromolecule	"a very large molecule, as of a protein or rubber [n -s]"
macromolecules	"macromolecule, a very large molecule, as of a protein or rubber [n]"
macromoles	"macromole, in chemistry, a large mole [n]"
macromutation	an abnormally great change in the characteristics of a population of animals or plants over relatively few successive generations [n -s]
macromutations	"macromutation, an abnormally great change in the characteristics of a population of animals or plants over relatively few successive generations [n]"
macron	a symbol placed over a vowel to indicate a long sound [n -s]
macrons	"macron, a symbol placed over a vowel to indicate a long sound [n]"
macronuclear	of or like a macronucleus [adj]
macronuclei	"macronucleus, a relatively large densely staining nucleus of most ciliate protozoans that is derived from micronuclei and controls various nonreproductive functions [n]"
macronucleus	a relatively large densely staining nucleus of most ciliate protozoans that is derived from micronuclei and controls various nonreproductive functions [n macronuclei]
macronutrient	"a chemical element (as nitrogen, phosphorus, or potassium) of which relatively large quantities are essential to the growth and health of a plant [n -s]"
macronutrients	"macronutrient, a chemical element (as nitrogen, phosphorus, or potassium) of which relatively large quantities are essential to the growth and health of a plant [n]"
macrophage	any of the large phagocytic cells situated in the walls of blood vessels [n -s]
macrophages	"macrophage, any of the large phagocytic cells situated in the walls of blood vessels [n]"
macrophagic	of or like a macrophage [adj]
macrophagous	"of an animal, feeding on relatively large particles of food [adj]"
macrophotograph	a larger than lifesize closeup photograph [n]
macrophyla	"macrophylum, a large phylum, as in new guinea macrophylum [n]"
macrophylum	"a large phylum, as in new guinea macrophylum [n macrophyla]"
macrophysics	the branch of physics concerned with macroscopic systems and objects [n]
macrophyte	a macroscopic plant in an aquatic environment [n -s]
macrophytes	"macrophyte, a macroscopic plant in an aquatic environment [n]"
macrophytic	relating to a macrophyte [adj]
macropinacoid	"a crystalline pinacoid which runs parallel to the longer horizontal axis, also macropinakoid [n -s]"
macropinacoids	"macropinacoid, a crystalline pinacoid which runs parallel to the longer horizontal axis, also macropinakoid [n]"
macropinakoid	"a crystalline pinacoid which runs parallel to the longer horizontal axis, also macropinacoid [n -s]"
macropinakoids	"macropinakoid, a crystalline pinacoid which runs parallel to the longer horizontal axis, also macropinacoid [n]"
macropod	an animal of the marsupial family that includes kangaroos [n -s]
macropods	"macropod, an animal of the marsupial family that includes kangaroos [n]"
macroprism	"in crystallography, a prism parallel to the macrodiagonal [n -s]"
macroprisms	"macroprism, in crystallography, a prism parallel to the macrodiagonal [n]"
macropsia	a condition of the eyes in which objects appear larger than normal [n -s]
macropsias	"macropsia, a condition of the eyes in which objects appear larger than normal [n]"
macropterous	having large wings or fins [adj]
macros	"macro, in computing, a single instruction that brings a set of instructions into operation [n]"
macroscale	a large often macroscopic scale [n -s]
macroscales	"macroscale, a large often macroscopic scale [n]"
macroscopic	large enough to be visible to the unaided eye [adj macroscopically]
macroscopically	"macroscopic, large enough to be visible to the unaided eye [adv]"
macrosociology	the branch of sociology concerned with the study of human societies on a wide scale [n]
macrosporangia	"macrosporangium, a sporangium producing only megaspores [n]"
macrosporangium	a sporangium producing only megaspores [n macrosporangia]
macrospore	a spore giving rise to a female gametophyte [n -s]
macrospores	"macrospore, a spore giving rise to a female gametophyte [n]"
macrostructural	of or like a macrostructure [adj]
macrostructure	"the structure (as of metal, a body part, or the soil) revealed by visual examination with little or no magnification [n -s]"
macrostructures	"macrostructure, the structure (as of metal, a body part, or the soil) revealed by visual examination with little or no magnification [n]"
macrotous	having large ears [adj]
macrozamia	"a plant of genus macrozamia, australian cycads [n -s]"
macrozamias	"macrozamia, a plant of genus macrozamia, australian cycads [n]"
macrural	"long-tailed, also macrurous [adj]"
macruran	any of a suborder of crustaceans [n -s]
macrurans	"macruran, any of a suborder of crustaceans [n]"
macruroid	"belonging to the crustacean division including lobsters, prawns [adj]"
macrurous	"long-tailed, also macrural [adj]"
macs	"mac, (short for) mackintosh, also mack [n]"
mactation	the killing or slaughter esp. of a sacrificial victim [n -s]
mactations	"mactation, the killing or slaughter esp. of a sacrificial victim [n]"
macula	"(latin) a spot, as on the skin, or on the surface of the sun [n maculae or maculas]"
maculae	"macula, (latin) a spot, as on the skin, or on the surface of the sun [n]"
macular	spotted; patchy [adj]
maculas	"macula, (latin) a spot, as on the skin, or on the surface of the sun [n]"
maculate	"to spot or stain [v maculated, maculating, maculates]"
maculated	"maculate, to spot or stain [v]"
maculates	"maculate, to spot or stain [v]"
maculating	"maculate, to spot or stain [v]"
maculation	being covered in spots [n -s]
maculations	"maculation, being covered in spots [n]"
maculature	blotting paper [n -s]
maculatures	"maculature, blotting paper [n]"
macule	"to blur in printing, also mackle [v maculed, maculing, macules]"
maculed	"macule, to blur in printing, also mackle [v]"
macules	"macule, to blur in printing, also mackle [v]"
maculing	"macule, to blur in printing, also mackle [v]"
maculose	spotted [adj]
macumba	"a black religious cult practised in brazil, characterized by sorcery, ritual dancing, and the use of fetishes [n -s]"
macumbas	"macumba, a black religious cult practised in brazil, characterized by sorcery, ritual dancing, and the use of fetishes [n]"
mad	"insane [adj madder, maddest, madly] / to become or make angry or mad [v madded, madding, mads]"
madafu	(swahili) coconut milk [n -s]
madafus	"madafu, (swahili) coconut milk [n]"
madam	"a courteous form of address for a woman [n -s] / to address as madam [v -ed, -ing, -s]"
madame	"the french title of respect for a married woman [n madames or mesdames] / to address as madame [v madamed, madaming, madames]"
madamed	"madam, to address as madam [v]"
madames	"madame, to address as madame [v]"
madaming	"madam, to address as madam [v]"
madams	"madam, to address as madam [v]"
madaroses	"madarosis, loss of eyelashes or eyebrows [n]"
madarosis	loss of eyelashes or eyebrows [n madaroses]
madbrain	(shakespeare) a rash or insane person [n -s]
madbrained	(shakespeare) hot-headed; rash [adj]
madbrains	"madbrain, (shakespeare) a rash or insane person [n]"
madcap	an impulsive person [n -s]
madcaps	"madcap, an impulsive person [n]"
madded	"mad, to become or make angry or mad [v]"
madden	"to make or become mad [v -ed, -ing, -s]"
maddened	"madden, to make or become mad [v]"
maddening	"madden, to make or become mad [v]"
maddeningly	maddening [adv]
maddeningness	maddening [n]
maddeningnesses	"maddeningness, maddening [n]"
maddens	"madden, to make or become mad [v]"
madder	a herbaceous plant whose root produces a red dye [n -s]
madders	"madder, a herbaceous plant whose root produces a red dye [n]"
maddest	"mad, insane [adj]"
madding	"mad, to become or make angry or mad [v]"
maddingly	madding [adv]
maddish	somewhat mad [adj]
maddock	"a kind of pickaxe for loosening soil, also mattock [n -s]"
maddocks	"maddock, a kind of pickaxe for loosening soil, also mattock [n]"
made	"make, to cause to exist [v]"
madefaction	moistening [n -s]
madefactions	"madefaction, moistening [n]"
madefied	"madefy, (archaic) to moisten [v]"
madefies	"madefy, (archaic) to moisten [v]"
madefy	"(archaic) to moisten [v madefied, madefying, madefies]"
madefying	"madefy, (archaic) to moisten [v]"
madeira	a white wine [n -s]
madeiras	"madeira, a white wine [n]"
madeleine	"(french) a small, rich cake baked in a fluted, shell-shaped pan [n -s]"
madeleines	"madeleine, (french) a small, rich cake baked in a fluted, shell-shaped pan [n]"
mademoiselle	(french) a french title of respect for an unmarried woman [n -s]
mademoiselles	"mademoiselle, (french) a french title of respect for an unmarried woman [n]"
maderisation	"the act of maderising, also maderization [n -s]"
maderisations	"maderisation, the act of maderising, also maderization [n]"
maderise	"to become flat and rusty (wine), also maderize [v maderised, maderising, maderises]"
maderised	"maderise, to become flat and rusty (wine), also maderize [v]"
maderises	"maderise, to become flat and rusty (wine), also maderize [v]"
maderising	"maderise, to become flat and rusty (wine), also maderize [v]"
maderization	"the act of maderizing, also maderisation [n -s]"
maderizations	"maderization, the act of maderizing, also maderisation [n]"
maderize	"to become flat and rusty (wine), also maderise [v maderized, maderizing, maderizes]"
maderized	"maderize, to become flat and rusty (wine), also maderise [v]"
maderizes	"maderize, to become flat and rusty (wine), also maderise [v]"
maderizing	"maderize, to become flat and rusty (wine), also maderise [v]"
madeuppy	(colloquial) artificially invented [adj]
madge	a type of hammer used in silver plating [n -s]
madges	"madge, a type of hammer used in silver plating [n]"
madhouse	an insane asylum [n -s]
madhouses	"madhouse, an insane asylum [n]"
madid	wet; dank [adj]
madison	a type of cyle relay race [n -s]
madisons	"madison, a type of cyle relay race [n]"
madling	a mad person [n -s]
madlings	"madling, a mad person [n]"
madly	"mad, insane [adv]"
madman	a man who is insane [n madmen]
madmen	"madman, a man who is insane [n]"
madness	the state of being mad [n -es]
madnesses	"madness, the state of being mad [n]"
madonna	a former italian title of respect for a woman [n -s]
madonnaish	like a madonna [adj]
madonnas	"madonna, a former italian title of respect for a woman [n]"
madonnawise	in the manner of a madonna [adv]
madoqua	a small abyssinian antelope [n -s]
madoquas	"madoqua, a small abyssinian antelope [n]"
madras	a fine plain-woven cotton or silk [n -es]
madrasa	"(arabic) an islamic college, or school attached to mosque, also madrasah, madrassa, madrassah, medresa, medrese, medresseh [n -s]"
madrasah	"(arabic) an islamic college, or school attached to mosque, also madrasa, madrassa, madrassah, medresa, medrese, medresseh [n -s]"
madrasahs	"madrasah, (arabic) an islamic college, or school attached to mosque, also madrasa, madrassa, madrassah, medresa, medrese, medresseh [n]"
madrasas	"madrasa, (arabic) an islamic college, or school attached to mosque, also madrasah, madrassa, madrassah, medresa, medrese, medresseh [n]"
madrases	"madras, a fine plain-woven cotton or silk [n]"
madrassa	"(arabic) an islamic college, or school attached to mosque, also madrasa, madrasah, madrassah, medresa, medrese, medresseh [n -s]"
madrassah	"(arabic) an islamic college, or school attached to mosque, also madrasa, madrasah, madrassa, medresa, medrese, medresseh [n -s]"
madrassahs	"madrassah, (arabic) an islamic college, or school attached to mosque, also madrasa, madrasah, madrassa, medresa, medrese, medresseh [n]"
madrassas	"madrassa, (arabic) an islamic college, or school attached to mosque, also madrasa, madrasah, madrassah, medresa, medrese, medresseh [n]"
madre	(spanish) mother [n -s]
madreporal	"relating to madrepore, a kind of coral, also madreporic [adj]"
madrepore	"a coral of the common reef-building type, occurring esp. in tropical seas [n -s]"
madrepores	"madrepore, a coral of the common reef-building type, occurring esp. in tropical seas [n]"
madreporian	"a coral, a madrepore [n -s]"
madreporians	"madreporian, a coral, a madrepore [n]"
madreporic	"relating to madrepore, a kind of coral, also madreporal [adj]"
